RespondentId,opdata_CourseID,Q1MaincellgroupRow1,Q1MaincellgroupRow2,Q1MaincellgroupRow3,Q1MaincellgroupRow4,Q1MaincellgroupRow5,Q1MaincellgroupRow6,Q1MaincellgroupRow7,Q1MaincellgroupRow8,Q1MaincellgroupRow9,Q1MaincellgroupRow10
489226,OcnA-S216-02,4,4,3,2,5,4,2,4,5,4
434707,BioA-S116-01,4,3,4,2,4,4,1,4,3,4
436886,BioA-S116-01,4,3,3,1,5,5,2,4,3,5
483940,FrScA-S216-02,5,5,5,1,5,4,1,5,4,5
433131,AnPhA-S116-01,5,5,3,1,5,5,3,5,5,5
432242,OcnA-S116-01,4,2,2,2,5,3,2,5,1,4
432987,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432242,OcnA-S116-01,4,3,3,2,4,3,3,4,3,4
434209,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457331,FrScA-S116-01,5,4,5,1,5,5,1,5,5,5
436798,BioA-S116-01,5,4,5,1,5,5,1,5,4,5
432444,PhysA-S116-01,4,5,4,1,4,4,2,5,3,4
482204,AnPhA-S216-01,5,5,4,1,5,5,1,5,5,5
479398,FrScA-S216-01,3,3,3,4,2,3,4,3,3,2
432991,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
435493,AnPhA-S116-01,4,4,2,2,3,4,3,4,4,2
483061,AnPhA-S216-01,5,5,5,1,5,5,1,5,5,5
484762,AnPhA-S216-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484796,FrScA-S216-02,5,4,4,2,4,4,2,4,4,5
435109,BioA-S116-01,4,3,3,2,4,4,3,4,3,3
435824,OcnA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483047,FrScA-S216-01,3,4,3,1,4,5,1,4,4,3
435057,BioA-S116-01,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
432351,BioA-S116-01,4,3,3,2,4,4,2,4,3,3
494425,BioA-S216-01,4,4,4,2,4,4,2,4,5,5
432306,FrScA-S116-01,5,5,3,1,5,5,2,4,4,5
440619,BioA-S116-01,4,4,4,2,4,4,3,4,4,4
435054,FrScA-S116-01,5,4,3,1,4,4,2,4,4,4
436874,BioA-S116-01,4,2,3,3,5,3,3,5,3,4
436577,PhysA-S116-01,4,4,4,2,5,5,2,5,4,4
433146,FrScA-S116-03,5,3,3,1,4,4,2,4,4,4
432815,OcnA-T116-01,5,5,4,1,5,5,1,5,5,5
434289,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483471,AnPhA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438158,PhysA-S116-01,5,4,5,1,4,5,1,4,3,5
494425,PhysA-S216-01,4,4,3,2,4,4,4,4,3,4
434213,BioA-S116-01,5,5,5,1,5,5,1,5,5,5
489894,AnPhA-S216-01,4,3,3,4,5,5,1,5,3,4
437333,AnPhA-S116-02,3,2,3,3,2,3,3,4,3,3
433124,FrScA-S116-01,4,3,3,1,4,3,2,4,2,4
432751,AnPhA-S116-01,4,3,2,2,2,3,3,4,2,4
447477,BioA-S116-01,4,3,3,2,4,4,1,4,4,4
483780,FrScA-S216-01,5,4,4,1,5,4,2,5,3,4
437216,FrScA-S116-01,4,4,3,2,4,5,2,4,4,4
430172,OcnA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479604,OcnA-S216-01,4,2,3,2,4,4,2,4,2,5
483733,FrScA-S216-02,4,4,4,1,4,4,2,4,5,5
434764,BioA-S116-01,5,3,3,1,4,4,2,5,NA,5
493592,FrScA-S216-04,4,4,3,1,4,4,1,4,4,5
440586,BioA-S116-01,4,4,4,2,5,3,2,5,4,5
432759,FrScA-S116-03,5,5,4,1,5,5,2,5,5,5
479694,FrScA-S216-01,5,2,3,2,4,3,2,4,3,4
480428,OcnA-S216-01,4,4,4,1,5,4,3,4,4,4
432820,@X@course.course_id@X@,4,2,2,2,4,4,4,4,2,4
434776,OcnA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439203,BioA-S116-01,4,4,3,2,4,4,3,4,2,4
435413,BioA-S116-01,5,5,5,1,5,5,1,5,5,5
435084,AnPhA-T116-01,5,5,5,1,5,5,1,5,5,5
482701,OcnA-S216-01,4,4,4,1,5,4,1,4,4,4
432351,BioA-S116-01,4,3,4,3,4,3,2,4,3,5
432944,FrScA-S116-01,5,3,4,1,4,3,2,4,3,5
