RespondentId,opdata_CourseID,Q1MaincellgroupRow1,Q1MaincellgroupRow2,Q1MaincellgroupRow3,Q1MaincellgroupRow4,Q1MaincellgroupRow5,Q1MaincellgroupRow6,Q1MaincellgroupRow7,Q1MaincellgroupRow8,Q1MaincellgroupRow9,Q1MaincellgroupRow10
432759,OcnA-S116-02,5,4,3,1,5,4,2,5,4,5
433166,AnPhA-S116-01,4,4,4,1,4,5,1,5,5,4
494425,BioA-S216-01,4,4,3,2,4,4,2,4,4,4
519061,BioA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432273,OcnA-S116-02,4,3,4,2,4,3,2,4,3,4
522806,BioA-S216-01,4,2,3,2,4,3,3,4,3,4
446155,PhysA-S116-01,4,5,5,1,4,4,2,5,3,4
433166,OcnA-S116-02,4,3,2,4,4,4,2,3,3,2
442479,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517967,BioA-S216-01,4,4,3,1,4,4,NA,4,4,3
448179,AnPhA-S116-02,4,4,4,1,4,4,2,4,4,4
432404,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434426,AnPhA-T116-01,5,5,5,1,5,5,1,5,5,5
442510,FrScA-S116-01,4,2,3,2,4,3,3,4,3,4
518043,BioA-S216-01,4,4,4,1,4,4,2,4,3,4
432991,@X@course.course_id@X@,4,4,3,1,4,4,1,5,4,4
512612,BioA-S216-01,5,4,3,2,4,4,3,4,4,4
437129,BioA-S116-01,4,3,4,2,4,3,2,4,3,4
439805,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436798,PhysA-S116-01,4,4,3,2,4,4,2,4,4,4
479979,AnPhA-S216-02,5,4,4,1,5,5,2,5,4,4
519349,FrScA-S216-02,4,3,4,2,5,3,3,5,4,4
437222,AnPhA-S116-02,5,5,5,1,5,5,1,5,5,5
484730,AnPhA-S216-01,5,5,3,1,5,5,2,4,5,5
520951,BioA-S216-01,3,1,1,4,2,1,3,1,2,1
483008,OcnA-S216-02,4,4,3,2,4,4,3,4,4,3
480124,OcnA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483820,FrScA-S216-01,4,4,3,2,4,5,2,5,5,5
433222,FrScA-S116-01,5,2,3,2,4,2,2,4,2,4
435509,AnPhA-S116-02,4,5,3,1,4,4,2,4,5,4
445417,PhysA-S116-01,5,4,4,2,4,4,3,4,3,3
435084,FrScA-S116-03,5,4,4,1,4,4,3,5,4,5
432843,AnPhA-S116-01,4,4,3,2,4,4,3,4,5,4
436844,FrScA-S116-01,4,4,3,2,4,4,2,4,4,4
439203,AnPhA-T116-01,4,4,3,2,4,5,3,4,4,4
432192,FrScA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480860,OcnA-S216-02,3,2,3,3,3,2,1,4,2,3
435465,AnPhA-S116-01,4,4,4,1,4,4,3,4,3,4
432736,AnPhA-S116-01,4,4,3,NA,5,5,1,4,4,4
482001,AnPhA-S216-01,5,5,4,1,5,5,2,3,3,5
479433,FrScA-S216-01,4,3,3,1,5,4,2,5,3,5
491516,AnPhA-S216-01,5,4,4,1,5,4,1,5,5,5
434330,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432814,OcnA-T116-01,5,5,3,1,5,5,1,5,5,5
479376,AnPhA-S216-01,4,4,3,2,4,4,2,4,4,5
446363,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521032,BioA-S216-01,4,3,3,2,3,3,1,3,3,3
432306,AnPhA-S116-02,5,4,5,1,5,5,1,5,5,3
480839,FrScA-S216-01,5,5,5,1,5,5,1,5,5,5
430200,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433371,BioA-S116-01,5,5,5,1,4,4,5,5,5,5
485742,NA,5,5,5,1,5,5,1,5,5,5
485112,OcnA-S216-01,4,3,3,1,5,4,2,4,3,5
480124,FrScA-S216-01,5,4,3,1,4,5,1,5,5,5
482572,FrScA-S216-01,4,4,5,2,4,4,3,4,4,5
482667,AnPhA-S216-01,5,5,4,1,5,5,2,4,4,5
432936,FrScA-S116-01,3,2,3,3,3,3,2,4,3,3
432392,PhysA-S116-01,4,4,3,2,4,4,2,4,3,2
480389,BioA-S216-01,3,2,1,3,1,3,3,4,3,1
434374,BioA-S116-01,5,5,5,1,5,5,1,5,5,5
434251,FrScA-S116-01,4,4,3,2,4,3,3,4,4,5
483621,OcnA-S216-01,5,4,4,1,5,4,1,5,4,5
489119,OcnA-S216-01,3,3,4,3,4,3,3,3,3,3
440357,BioA-S116-01,5,5,5,1,5,5,2,5,5,5
484711,FrScA-S216-01,4,3,2,2,3,3,2,4,3,4
480839,OcnA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430162,AnPhA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439828,BioA-S116-01,4,4,3,2,4,4,3,4,3,3
484730,AnPhA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439271,BioA-S116-01,5,5,3,1,5,5,3,5,5,5
