CourseSectionOrigID,Bb_UserPK,Points_Possible,Points_Earned,Gender
AnPhA-S116-01,60186,5,5,F
AnPhA-S116-01,60186,30,27.38,F
AnPhA-S116-01,60186,10,10,F
AnPhA-S116-01,60186,5,3,F
AnPhA-S116-01,60186,5,5,F
AnPhA-S116-01,60186,30,27,F
AnPhA-S116-01,60186,5,4,F
AnPhA-S116-01,60186,597,574.9,F
AnPhA-S116-01,60186,10,NA,M
AnPhA-S116-01,60186,10,10,F
AnPhA-S116-01,60186,353,290,M
AnPhA-S116-01,60186,5,NA,F
AnPhA-S116-01,60186,5,NA,F
AnPhA-S116-01,60186,30,25,F
AnPhA-S116-01,60186,220,214.5,F
AnPhA-S116-01,60186,10,10,F
AnPhA-S116-01,60186,237,166.65,M
AnPhA-S116-01,60186,30,30,F
AnPhA-S116-01,60186,12,9.6,F
AnPhA-S116-01,60186,30,28.13,F
AnPhA-S116-01,60186,5,4,F
AnPhA-S116-01,60186,55,55,M
AnPhA-S116-01,60186,10,10,M
AnPhA-S116-01,60186,75,30,M
AnPhA-S116-01,60186,55,NA,M
AnPhA-S116-01,60186,15,15,M
AnPhA-S116-01,60186,5,5,F
AnPhA-S116-01,60186,597,557.6,F
AnPhA-S116-01,60186,625,568.22333,F
AnPhA-S116-01,60186,10,9.38,F
AnPhA-S116-01,60186,30,18,F
AnPhA-S116-01,60186,10,7.5,F
AnPhA-S116-01,60186,244,204,F
AnPhA-S116-01,60186,5,NA,F
AnPhA-S116-01,60186,10,9,M
AnPhA-S116-01,60186,105,93.1,M
AnPhA-S116-01,60186,105,73.9,F
AnPhA-S116-01,60186,5,5,M
AnPhA-S116-01,60186,10,8,M
AnPhA-S116-01,60186,5,4,M
AnPhA-S116-01,60186,403,215.19,F
AnPhA-S116-01,60186,10,7,M
AnPhA-S116-01,60186,5,4.8,F
AnPhA-S116-01,60186,10,7,F
AnPhA-S116-01,60186,10,10,F
AnPhA-S116-01,60186,10,10,F
AnPhA-S116-01,60186,140,141,F
AnPhA-S116-01,60186,5,NA,F
AnPhA-S116-01,60186,10,6.63,M
AnPhA-S116-01,60186,10,10,M
AnPhA-S116-01,60186,37,NA,M
AnPhA-S116-01,60186,50,NA,F
AnPhA-S116-01,60186,30,13.87,F
AnPhA-S116-01,66693,5,5,M
AnPhA-S116-01,66693,5,5,F
AnPhA-S116-01,66693,37,37,F
AnPhA-S116-01,66693,15,14,M
AnPhA-S116-01,66693,10,10,F
AnPhA-S116-01,66693,625,533.38,F
AnPhA-S116-01,66693,5,5,M
AnPhA-S116-01,66693,10,3.5,M
AnPhA-S116-01,66693,24,16,M
AnPhA-S116-01,66693,15,11,F
AnPhA-S116-01,66693,10,10,M
AnPhA-S116-01,66693,5,NA,M
AnPhA-S116-01,66693,5,NA,M
AnPhA-S116-01,66693,12,NA,F
AnPhA-S116-01,66693,10,10,F
AnPhA-S116-01,66693,15,10,F
AnPhA-S116-01,66693,5,10,M
AnPhA-S116-01,66693,10,7,F
AnPhA-S116-01,66693,5,5,F
AnPhA-S116-01,66693,30,26.59,F
AnPhA-S116-01,66693,10,10,F
AnPhA-S116-01,66693,5,5,F
AnPhA-S116-01,66693,10,10,F
AnPhA-S116-01,66693,5,NA,F
AnPhA-S116-01,66693,20,20,M
AnPhA-S116-01,66693,10,NA,M
AnPhA-S116-01,66693,30,30,M
AnPhA-S116-01,66693,10,10,F
AnPhA-S116-01,66693,5,4,F
AnPhA-S116-01,66693,5,NA,F
AnPhA-S116-01,66693,10,NA,F
AnPhA-S116-01,66693,30,NA,F
AnPhA-S116-01,66693,10,10,F
AnPhA-S116-01,66693,5,3,F
AnPhA-S116-01,66693,5,4.5,F
AnPhA-S116-01,66693,10,10,M
AnPhA-S116-01,66693,10,NA,M
AnPhA-S116-01,66693,5,NA,F
AnPhA-S116-01,66693,5,5,F
AnPhA-S116-01,66693,5,5,F
AnPhA-S116-01,66693,10,6,F
AnPhA-S116-01,66693,10,5,F
AnPhA-S116-01,66693,30,22.66667,F
AnPhA-S116-01,66693,465,363.39333,F
AnPhA-S116-01,66693,15,11,M
AnPhA-S116-01,66693,10,10,F
AnPhA-S116-01,66693,15,8,F
AnPhA-S116-01,66693,15,15,F
AnPhA-S116-01,66693,10,NA,F
AnPhA-S116-01,66693,30,30,F
AnPhA-S116-01,66693,20,20,M
AnPhA-S116-01,66693,5,5,F
AnPhA-S116-01,66693,30,30,F
AnPhA-S116-01,66811,10,5.88,F
AnPhA-S116-01,66811,30,23.33,M
AnPhA-S116-01,66811,75,20,M
AnPhA-S116-01,66811,353,308.72,M
AnPhA-S116-01,66811,30,30,F
AnPhA-S116-01,66811,80,78,F
AnPhA-S116-01,66811,438,395.2,M
AnPhA-S116-01,66811,30,28,M
AnPhA-S116-01,66811,0,0,F
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,5,4,F
AnPhA-S116-01,66811,30,27.75,M
AnPhA-S116-01,66811,10,10,M
AnPhA-S116-01,66811,30,26,F
AnPhA-S116-01,66811,10,10,M
AnPhA-S116-01,66811,5,NA,M
AnPhA-S116-01,66811,10,10,F
AnPhA-S116-01,66811,5,4,F
AnPhA-S116-01,66811,10,10,F
AnPhA-S116-01,66811,30,NA,M
AnPhA-S116-01,66811,625,600.13,F
AnPhA-S116-01,66811,5,4,F
AnPhA-S116-01,66811,10,10,F
AnPhA-S116-01,66811,10,10,F
AnPhA-S116-01,66811,12,12,F
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,20,16,F
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,10,3.25,M
AnPhA-S116-01,66811,10,8,F
AnPhA-S116-01,66811,10,10,M
AnPhA-S116-01,66811,10,9,F
AnPhA-S116-01,66811,30,NA,F
AnPhA-S116-01,66811,10,10,F
AnPhA-S116-01,66811,597,518,F
AnPhA-S116-01,66811,10,10,M
AnPhA-S116-01,66811,30,17.25,F
AnPhA-S116-01,66811,10,10,M
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,396,352,F
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,5,5,M
AnPhA-S116-01,66811,10,9.25,F
AnPhA-S116-01,66811,10,10,F
AnPhA-S116-01,66811,10,6,M
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,10,9.13,M
AnPhA-S116-01,66811,5,5,F
AnPhA-S116-01,66811,12,12,F
AnPhA-S116-01,66811,10,8.25,F
AnPhA-S116-01,66811,443,402,F
AnPhA-S116-01,66862,30,28.5,F
AnPhA-S116-01,66862,12,12,M
AnPhA-S116-01,66862,5,NA,F
AnPhA-S116-01,66862,915,780.83,F
AnPhA-S116-01,66862,10,10,F
AnPhA-S116-01,66862,438,415,F
AnPhA-S116-01,66862,10,10,F
AnPhA-S116-01,66862,37,8,M
AnPhA-S116-01,66862,10,10,F
AnPhA-S116-01,66862,30,NA,M
AnPhA-S116-01,66862,15,15,F
AnPhA-S116-01,66862,5,5,F
AnPhA-S116-01,66862,50,50,F
AnPhA-S116-01,66862,10,10,F
AnPhA-S116-01,66862,10,10,M
AnPhA-S116-01,66862,10,8,F
AnPhA-S116-01,66862,30,28.5,F
AnPhA-S116-01,66862,10,8,F
AnPhA-S116-01,66862,10,1,M
AnPhA-S116-01,66862,5,5,F
AnPhA-S116-01,66862,5,5,F
AnPhA-S116-01,66862,12,12,F
AnPhA-S116-01,66862,5,NA,M
AnPhA-S116-01,66862,30,24.6,F
AnPhA-S116-01,66862,5,5,F
AnPhA-S116-01,66862,5,4,M
AnPhA-S116-01,66862,10,7,F
AnPhA-S116-01,66862,24,NA,M
AnPhA-S116-01,66862,10,10,F
AnPhA-S116-01,66862,10,6,F
AnPhA-S116-01,66862,10,10,F
AnPhA-S116-01,66862,75,NA,F
AnPhA-S116-01,66862,10,NA,M
AnPhA-S116-01,66862,15,13,F
AnPhA-S116-01,66862,10,NA,F
AnPhA-S116-01,66862,80,17.5,F
AnPhA-S116-01,66862,5,4.5,F
AnPhA-S116-01,66862,0,0,F
AnPhA-S116-01,66862,10,10,M
AnPhA-S116-01,66862,5,5,F
AnPhA-S116-01,66862,10,10,M
AnPhA-S116-01,66862,30,NA,F
AnPhA-S116-01,66862,10,9,F
AnPhA-S116-01,66862,10,NA,M
AnPhA-S116-01,66862,140,124,F
AnPhA-S116-01,66862,37,36.5,F
AnPhA-S116-01,66862,10,10,M
AnPhA-S116-01,66862,10,9.1,F
AnPhA-S116-01,66862,5,4,F
AnPhA-S116-01,66862,10,10,M
AnPhA-S116-01,66862,5,NA,F
AnPhA-S116-01,66862,5,5,F
AnPhA-S116-01,66862,10,7,F
AnPhA-S116-01,67508,438,413.05,F
AnPhA-S116-01,67508,720,685,M
AnPhA-S116-01,67508,10,10,F
AnPhA-S116-01,67508,20,16,F
AnPhA-S116-01,67508,24,20,F
AnPhA-S116-01,67508,5,5,F
AnPhA-S116-01,67508,30,22,F
AnPhA-S116-01,67508,5,5,F
AnPhA-S116-01,67508,443,437,F
AnPhA-S116-01,67508,10,10,M
AnPhA-S116-01,67508,37,NA,F
AnPhA-S116-01,67508,20,18,F
AnPhA-S116-01,67508,15,NA,M
AnPhA-S116-01,67508,288,219.13,M
AnPhA-S116-01,67508,10,10,F
AnPhA-S116-01,67508,10,NA,F
AnPhA-S116-01,67508,30,29,F
AnPhA-S116-01,67508,10,10,F
AnPhA-S116-01,67508,10,NA,M
AnPhA-S116-01,67508,10,10,F
AnPhA-S116-01,67508,235,211.5,M
AnPhA-S116-01,67508,5,5,F
AnPhA-S116-01,67508,10,8,M
AnPhA-S116-01,67508,10,7.63,F
AnPhA-S116-01,67508,5,NA,M
AnPhA-S116-01,67508,10,8,F
AnPhA-S116-01,67508,10,9,F
AnPhA-S116-01,67508,10,0,M
AnPhA-S116-01,67508,0,0,F
AnPhA-S116-01,67508,5,4,M
AnPhA-S116-01,67508,37,37,F
AnPhA-S116-01,67508,20,20,M
AnPhA-S116-01,67508,5,4,M
AnPhA-S116-01,67508,5,5,F
AnPhA-S116-01,67508,5,5,M
AnPhA-S116-01,67508,10,10,F
AnPhA-S116-01,67508,30,30,F
AnPhA-S116-01,67508,5,5,F
AnPhA-S116-01,67508,5,3,F
AnPhA-S116-01,67508,10,10,F
AnPhA-S116-01,67508,457,446.5,M
AnPhA-S116-01,67508,15,13,F
AnPhA-S116-01,67508,10,10,F
AnPhA-S116-01,67508,20,18,F
AnPhA-S116-01,67508,597,10,F
AnPhA-S116-01,67508,10,10,F
AnPhA-S116-01,67508,50,32.5,M
AnPhA-S116-01,67508,10,NA,F
AnPhA-S116-01,67508,10,8,F
AnPhA-S116-01,67508,10,10,M
AnPhA-S116-01,67508,30,27,F
AnPhA-S116-01,67508,30,NA,F
AnPhA-S116-01,67508,5,5,F
AnPhA-S116-01,70532,60,NA,M
AnPhA-S116-01,70532,10,10,F
AnPhA-S116-01,70532,30,13.2,M
AnPhA-S116-01,70532,10,9.25,M
AnPhA-S116-01,70532,10,9,M
AnPhA-S116-01,70532,10,NA,M
AnPhA-S116-01,70532,5,5,F
AnPhA-S116-01,70532,10,8.33333,F
AnPhA-S116-01,70532,20,20,F
AnPhA-S116-01,70532,5,NA,F
AnPhA-S116-01,70532,438,375,F
AnPhA-S116-01,70532,720,707,F
AnPhA-S116-01,70532,10,10,F
AnPhA-S116-01,70532,30,28,M
AnPhA-S116-01,70532,10,9.5,F
AnPhA-S116-01,70532,10,5,F
AnPhA-S116-01,70532,15,11,M
AnPhA-S116-01,70532,10,8,M
AnPhA-S116-01,70532,5,5,F
AnPhA-S116-01,70532,10,10,F
AnPhA-S116-01,70532,5,5,M
AnPhA-S116-01,70532,5,3,M
AnPhA-S116-01,70532,12,12,F
AnPhA-S116-01,70532,5,5,F
AnPhA-S116-01,70532,5,5,F
AnPhA-S116-01,70532,12,12,F
AnPhA-S116-01,70532,10,NA,F
AnPhA-S116-01,70532,30,15,F
AnPhA-S116-01,70532,10,5,M
AnPhA-S116-01,70532,345,338,F
AnPhA-S116-01,70532,30,20,F
AnPhA-S116-01,70532,10,10,F
AnPhA-S116-01,70532,249,218.5,M
AnPhA-S116-01,70532,635,398.38,F
AnPhA-S116-01,70532,10,9.13,F
AnPhA-S116-01,70532,5,5,M
AnPhA-S116-01,70532,30,30,F
AnPhA-S116-01,70532,10,9,F
AnPhA-S116-01,70532,5,5,F
AnPhA-S116-01,70532,5,NA,F
AnPhA-S116-01,70532,10,10,F
AnPhA-S116-01,70532,10,10,M
AnPhA-S116-01,70532,10,10,M
AnPhA-S116-01,70532,5,NA,F
AnPhA-S116-01,70532,10,9.5,F
AnPhA-S116-01,70532,140,141,F
AnPhA-S116-01,70532,5,5,M
AnPhA-S116-01,70532,30,19,M
AnPhA-S116-01,70532,20,16,M
AnPhA-S116-01,70532,5,NA,M
AnPhA-S116-01,70532,10,8,F
AnPhA-S116-01,70532,10,2,F
AnPhA-S116-01,70532,443,336,F
AnPhA-S116-01,77010,10,NA,M
AnPhA-S116-01,77010,5,3,F
