Bb_UserPK,CourseSectionOrigID,TimeSpent
66693,AnPhA-S116-01,2087.0501
95738,OcnA-S216-01,163.6832
85487,FrScA-S116-03,1978.0169
85583,FrScA-S116-02,2544.3666
47979,OcnA-S116-01,3343.3333
86271,AnPhA-S216-01,406.0001
76133,PhysA-S116-01,1062.8665
90372,FrScA-S116-03,3780.5335
87081,FrScA-S116-01,1605.0336
92511,FrScA-S116-03,580.3167
86608,OcnA-S216-01,2885.7832
94404,PhysA-S216-01,791.0503
91176,AnPhA-S216-01,3134.9666
54066,FrScA-S216-03,793.95
65627,FrScA-S216-01,2130.7497
86484,FrScA-S116-01,282.7834
86349,FrScA-S116-01,1600.3334
62752,FrScA-S116-02,48.0332
95545,AnPhA-S216-01,2999.9832
86476,OcnA-S216-01,546.4335
86067,BioA-S116-01,816.7002
88501,OcnA-S216-01,2457.1828
88836,FrScA-S216-01,885.9167
95266,OcnA-S216-02,1665.1665
96027,FrScA-S216-02,2111.8333
95533,FrScA-S216-01,193.0498
94327,PhysA-S216-01,1434.3999
90636,BioA-S116-01,1639.4498
69937,FrScA-S216-04,1290.4502
86515,AnPhA-S116-01,3109.0664
95896,OcnA-S216-01,163.6832
95957,FrScA-S216-01,112.5167
95620,AnPhA-S216-01,3789.3996
88596,FrScA-S116-03,2062.95
90861,BioA-S116-01,1077.1836
96027,OcnA-S216-01,1540.1833
88612,FrScA-S116-03,1233.3832
96808,FrScA-S216-02,2264.4834
86488,FrScA-S216-01,1422.7335
43146,FrScA-S216-01,1359.033
90878,BioA-S116-01,849.6835
87552,FrScA-S116-01,1451.9169
85665,FrScA-S116-01,107.8999
66689,FrScA-S216-01,1867.4169
96090,PhysA-S216-01,870.3836
70068,PhysA-S216-01,1863.5169
85866,FrScA-S116-01,1687.3165
85929,FrScA-S116-01,1687.3165
89005,FrScA-S116-03,2582.4167
86504,FrScA-S116-01,3429.2834
85930,FrScA-S116-01,4075.5504
94661,OcnA-S216-01,3140.7669
76930,AnPhA-S216-01,1533.0996
86365,FrScA-S216-01,1101.2833
79352,PhysA-S116-01,2285.7836
89168,FrScA-S116-03,1598.3499
85410,PhysA-S116-01,608.2501
85411,FrScA-S116-01,782.5002
84684,AnPhA-T116-01,5037.3331
94744,OcnA-S216-01,8870.8833
94590,OcnA-S216-01,1430.217
85792,FrScA-S116-01,1687.3165
86275,AnPhA-S116-01,3030.1667
84645,OcnA-T116-01,1559.9667
87504,FrScA-S116-01,1156.1668
86488,AnPhA-S116-01,3599.7168
96082,AnPhA-S216-01,3542.5501
91575,FrScA-S216-02,608.0833
86707,OcnA-S216-02,1283.4669
86836,AnPhA-S216-01,3123.3502
66740,AnPhA-S116-01,5298.8507
60186,OcnA-S116-01,1321.8164
88836,FrScA-S116-03,1174.3499
95738,FrScA-S216-01,1636.5333
92724,PhysA-S116-01,2199.3
85348,FrScA-S216-03,0.7
58178,FrScA-S116-01,1479.4166
96373,FrScA-S216-02,2111.8333
88075,FrScA-S116-04,2137.7164
61941,OcnA-S116-01,1382.7001
90090,FrScA-S216-02,1722.1833
85416,AnPhA-S116-01,1209.8496
90466,BioA-S116-01,1077.1836
94070,AnPhA-S216-01,1351.9003
85522,FrScA-S216-01,264.2002
85891,AnPhA-S116-01,406.0001
95578,AnPhA-S216-01,546.85
85704,FrScA-S116-03,2381.6998
88886,AnPhA-S116-01,2615.4998
86251,AnPhA-S216-01,608.1834
68795,OcnA-S116-02,2823.7501
69072,OcnA-S116-02,2823.7501
43146,FrScA-S216-01,1359.033
91340,AnPhA-S216-01,202.2832
71725,FrScA-T116-01,4094.9995
87484,FrScA-S116-01,3344.1504
85970,FrScA-S116-03,638.7338
96871,BioA-S216-01,510.8667
87670,AnPhA-T116-01,250.4331
86286,AnPhA-S116-01,4176.8337
85287,FrScA-S216-01,608.2501
70187,FrScA-S216-04,1133.4667
95770,OcnA-S216-01,1886.3334
86267,AnPhA-S116-01,406.0001
89345,PhysA-S116-01,1329.3997
94257,FrScA-S216-01,1711.0164
94419,OcnA-S216-02,2287.2334
87861,FrScA-S116-01,1388.1167
85953,FrScA-S216-04,1283.4669
85796,FrScA-S116-03,1784.2506
94135,FrScA-S216-01,4552.0833
91351,FrScA-S116-02,580.3167
86349,FrScA-S216-01,846.0835
90090,OcnA-S116-01,4264.25
77010,FrScA-S116-03,801.2336
77010,FrScA-S216-02,2310.3333
