pre_int,pre_uv,pre_percomp,time_spent,course_ID,final_grade,subject,enrollment_reason,semester,enrollment_status,cogproc,social,posemo,negemo,n,section,post_int,post_uv,post_percomp,WC
4.2,3.6666666666666665,4,1555.1667,FrScA-S216-02,93.4537246,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,15.069736842105263,6.200526315789474,3.5555263157894736,1.1363157894736842,38,02,NA,NA,NA,88.3157894736842
4,3,3,1382.7001,OcnA-S116-01,81.70184255,OcnA,Course Unavailable at Local School,S116,Approved/Enrolled,7.1066666666666665,6.14,19.01,0,3,01,NA,NA,NA,34.666666666666664
4.2,3,3,860.4335,FrScA-S216-01,88.48758465,FrScA,Other,S216,Approved/Enrolled,15.165853658536586,5.0529268292682925,2.90609756097561,1.418780487804878,41,01,NA,NA,NA,69.34146341463415
4,3.6666666666666665,2.5,1598.6166,OcnA-S216-01,81.85259631,OcnA,Course Unavailable at Local School,S216,Approved/Enrolled,14.508000000000001,6.133,5.591,1.152,10,01,NA,NA,NA,61.2
3.8,3.6666666666666665,3.5,1481.8,PhysA-S116-01,84,PhysA,Learning Preference of the Student,S116,Approved/Enrolled,16.692,7.534,3.794,1.282,10,01,NA,NA,NA,47.1
3.8,3.6666666666666665,3.5,3.4501,FrScA-S216-03,NA,FrScA,Learning Preference of the Student,S216,Withdrawn,11.985,6.895,4.92,0,2,03,NA,NA,NA,84
3.6,4,3,1321.8164,AnPhA-S216-01,83.5882656,AnPhA,Other,S216,Approved/Enrolled,14.928571428571429,7.368095238095238,5.6866666666666665,0.5619047619047619,21,01,NA,NA,NA,80.52380952380952
4.2,3.6666666666666665,3,1390.2167,PhysA-S116-01,97.77777778,PhysA,Learning Preference of the Student,S116,Approved/Enrolled,15.12111111111111,5.693333333333333,5.143888888888889,0.41944444444444445,18,01,3.5,3.6666666666666665,3.5,59.166666666666664
3.8,2,3,1479.4166,FrScA-S116-01,96.11872146,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,18.228709677419356,4.918064516129032,6.23258064516129,1.1087096774193548,31,01,3.75,2,3,84.38709677419355
4.8,3.3333333333333335,4,1867.4169,FrScA-S216-01,81.03837472,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,15.719189189189189,5.651621621621621,8.482432432432432,0.5172972972972973,37,01,NA,NA,NA,49
4.6,4.666666666666667,4,2625.5164,OcnA-S116-01,93.90452261,OcnA,Other,S116,Approved/Enrolled,12.786666666666667,7.981111111111111,6.328888888888889,0.8722222222222222,18,01,5,4.666666666666667,4,99.61111111111111
3.4,2,3.5,2025.1672,OcnA-S116-02,93.40033501,OcnA,Course Unavailable at Local School,S116,Approved/Enrolled,15.861666666666666,6.4799999999999995,6.108333333333333,1.8391666666666666,12,02,NA,NA,NA,45.166666666666664
4,3,3.5,1581.0831,OcnA-S116-02,64.78224456,OcnA,Learning Preference of the Student,S116,Approved/Enrolled,22.656666666666666,6.263333333333333,2.5766666666666667,2.34,3,02,NA,NA,NA,52.666666666666664
4.4,2,3,1191.3836,OcnA-S116-01,51.0921273,OcnA,Course Unavailable at Local School,S116,Approved/Enrolled,18.126666666666665,6.08,3.53,1.75,3,01,4,2.6666666666666665,3.5,171
5,5,4,1231.8666,PhysA-S116-01,93.0625,PhysA,Learning Preference of the Student,S116,Approved/Enrolled,17.689375,7.38875,5.70875,0.864375,16,01,3.75,4,4,65.5
4,3.6666666666666665,3.5,1180.2664,OcnA-S216-02,65.84254606,OcnA,Course Unavailable at Local School,S216,Approved/Enrolled,15.361428571428572,7.41,7.614285714285714,1.2614285714285713,7,02,NA,NA,NA,54.714285714285715
4.4,3.6666666666666665,3,2130.7497,FrScA-S216-01,97.74266366,FrScA,Learning Preference of the Student,S216,Approved/Enrolled,17.433809523809526,5.9314285714285715,5.026666666666666,1.4395238095238096,42,01,NA,NA,NA,75.69047619047619
5,4,4.5,2083.3167,PhysA-S116-01,73.78472222,PhysA,Course Unavailable at Local School,S116,Approved/Enrolled,17.98,2.17625,2.23375,0.15375,8,01,4.75,3.6666666666666665,3.5,62.375
5,3.6666666666666665,4,3.9167,FrScA-S116-01,NA,FrScA,Other,S116,Withdrawn,7.61,9.24,5.43,0,1,01,NA,NA,NA,184
