CourseSectionOrigID,Bb_UserPK,Gradebook_Item,Grade_Category,FinalGradeCEMS,Points_Possible,Points_Earned,Gender
AnPhA-S116-01,60186,POINTS EARNED & TOTAL COURSE POINTS,NA,86.272,5,4.05,F
AnPhA-S116-01,60186,WORK ATTEMPTED,NA,86.272,30,24,F
AnPhA-S116-01,60186,0.1: Message Your Instructor,NA,86.272,105,71.675,F
AnPhA-S116-01,60186,0.2: Intro Assignment - Discussion Board,Hw,86.272,140,140.97,F
AnPhA-S116-01,60186,0.3: Intro Assignment - Submitting Files,Hw,86.272,5,5,M
AnPhA-S116-01,60186,1.1: Quiz,Qz,86.272,5,4,F
AnPhA-S116-01,60186,1.2: Quiz,Qz,86.272,20,NA,F
AnPhA-S116-01,60186,1.3: Create a Living Creature,Hw,86.272,50,50,F
AnPhA-S116-01,60186,1.3: Create a Living Creature - Discussion Board,Hw,86.272,10,NA,F
AnPhA-S116-01,60186,1.4: Negative Feedback Loop Flowchart,Hw,86.272,50,44,F
AnPhA-S116-01,60186,1.5: Quiz,Qz,86.272,5,4.19,M
AnPhA-S116-01,60186,Unit 1 Assessment: Pickle Autopsy Lab,Hw,86.272,5,5,F
AnPhA-S116-01,60186,PROGRESS CHECK 1 @ 10-02-15,NA,86.272,24,16,F
AnPhA-S116-01,60186,2.1: Types of Membranes,Hw,86.272,10,9.32,M
AnPhA-S116-01,60186,2.2 - 2.3: Quiz,Qz,86.272,10,9,F
AnPhA-S116-01,60186,2.4 - 2.5 Quiz,Qz,86.272,10,10,F
AnPhA-S116-01,60186,2.6: Quiz,Qz,86.272,5,5,F
AnPhA-S116-01,60186,Unit 2 Assessment: Test,Qz,86.272,443,389,F
AnPhA-S116-01,60186,3.1: Models of the Integumentary System,Hw,86.272,10,10,F
AnPhA-S116-01,60186,3.2 - 3.3: Quiz,Qz,86.272,5,3,M
AnPhA-S116-01,60186,3.4: Skin Twin - Discussion Board,Hw,86.272,5,NA,F
AnPhA-S116-01,60186,Unit 3 Assessment: UV Exposure Lab,Hw,86.272,30,NA,F
AnPhA-S116-01,60186,PROGRESS CHECK 2 @ 10-28-15,NA,86.272,15,12,F
AnPhA-S116-01,60186,4.2: Balloon Skull Lab,Hw,86.272,5,5,F
AnPhA-S116-01,60186,4.1 - 4.3: Quiz,Qz,86.272,5,NA,F
AnPhA-S116-01,60186,4.4: Quiz,Qz,86.272,5,10,M
AnPhA-S116-01,60186,4.5: Muscle Movements in our Daily Life,Hw,86.272,24,12,F
AnPhA-S116-01,60186,4.6: Soda and Osteoporosis Research Writing,Hw,86.272,15,15,F
AnPhA-S116-01,60186,Unit 4 Assessment: Test,Qz,86.272,75,65,M
AnPhA-S116-01,60186,5.1: Quiz,Qz,86.272,10,NA,F
AnPhA-S116-01,60186,5.4: Muscle Tissue Types Chart,Hw,86.272,625,461.76,F
AnPhA-S116-01,60186,5.2 - 5.4: Quiz,Qz,86.272,438,419,F
AnPhA-S116-01,60186,PROGRESS CHECK 3 @ 11-20-15,NA,86.272,10,10,F
AnPhA-S116-01,60186,5.5: Naming Skeletal Muscle - Discussion Board,Hw,86.272,12,11.64,F
AnPhA-S116-01,60186,5.6: Quiz,Qz,86.272,10,10,M
AnPhA-S116-01,60186,Unit 5 Assessment: Fitness Class Poster,Hw,86.272,10,6,F
AnPhA-S116-01,60186,6.1: Quiz,Qz,86.272,5,5,F
AnPhA-S116-01,60186,6.2: Helmet Law - Discussion Board,Hw,86.272,30,24,F
AnPhA-S116-01,60186,6.3 - 6.4: Quiz,Qz,86.272,438,405,M
AnPhA-S116-01,60186,6.5: Diagramming the Nervous System,Hw,86.272,10,10,F
AnPhA-S116-01,60186,Unit 6 Assessment: Test,Qz,86.272,50,38,F
AnPhA-S116-01,60186,PROGRESS CHECK 4 @ 12-18-15,NA,86.272,50,50,F
AnPhA-S116-01,60186,7.1: Quiz,Qz,86.272,75,55,M
AnPhA-S116-01,60186,7.2: Virtual Eye Dissection,Hw,86.272,10,NA,M
AnPhA-S116-01,60186,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,86.272,15,8,F
AnPhA-S116-01,60186,7.4: Quiz,Qz,86.272,30,30,F
AnPhA-S116-01,60186,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,86.272,10,10,F
AnPhA-S116-01,60186,8.1 - 8.3: Quiz,Qz,86.272,10,10,F
AnPhA-S116-01,60186,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,86.272,5,5,F
AnPhA-S116-01,60186,8.5: Modeling Leptin and Obesity,Hw,86.272,5,5,F
AnPhA-S116-01,60186,Unit 8 Assessment: Test,Qz,86.272,10,9,M
AnPhA-S116-01,60186,Final Exam,NA,86.272,10,10,F
AnPhA-S116-01,60186,POINTS EARNED & TOTAL COURSE POINTS,NA,86.272,10,8,F
AnPhA-S116-01,66693,POINTS EARNED & TOTAL COURSE POINTS,NA,93.7536,24,24,F
AnPhA-S116-01,66693,WORK ATTEMPTED,NA,93.7536,10,6.25,F
AnPhA-S116-01,66693,0.1: Message Your Instructor,NA,93.7536,30,24,F
AnPhA-S116-01,66693,0.2: Intro Assignment - Discussion Board,Hw,93.7536,5,5,M
AnPhA-S116-01,66693,0.3: Intro Assignment - Submitting Files,Hw,93.7536,5,5,M
AnPhA-S116-01,66693,1.1: Quiz,Qz,93.7536,24,16,M
AnPhA-S116-01,66693,1.2: Quiz,Qz,93.7536,130,127,M
AnPhA-S116-01,66693,1.3: Create a Living Creature,Hw,93.7536,5,5,F
AnPhA-S116-01,66693,1.3: Create a Living Creature - Discussion Board,Hw,93.7536,20,20,M
AnPhA-S116-01,66693,1.4: Negative Feedback Loop Flowchart,Hw,93.7536,10,8.75,F
AnPhA-S116-01,66693,1.5: Quiz,Qz,93.7536,10,9.5,F
AnPhA-S116-01,66693,Unit 1 Assessment: Pickle Autopsy Lab,Hw,93.7536,15,NA,F
AnPhA-S116-01,66693,PROGRESS CHECK 1 @ 10-02-15,NA,93.7536,5,5,M
AnPhA-S116-01,66693,2.1: Types of Membranes,Hw,93.7536,5,5,M
AnPhA-S116-01,66693,2.2 - 2.3: Quiz,Qz,93.7536,30,NA,F
AnPhA-S116-01,66693,2.4 - 2.5 Quiz,Qz,93.7536,5,5,F
AnPhA-S116-01,66693,2.6: Quiz,Qz,93.7536,5,5,F
AnPhA-S116-01,66693,Unit 2 Assessment: Test,Qz,93.7536,10,7,F
AnPhA-S116-01,66693,3.1: Models of the Integumentary System,Hw,93.7536,10,10,F
AnPhA-S116-01,66693,3.2 - 3.3: Quiz,Qz,93.7536,10,NA,F
AnPhA-S116-01,66693,3.4: Skin Twin - Discussion Board,Hw,93.7536,30,25.88,F
AnPhA-S116-01,66693,Unit 3 Assessment: UV Exposure Lab,Hw,93.7536,10,10,M
AnPhA-S116-01,66693,PROGRESS CHECK 2 @ 10-28-15,NA,93.7536,5,5,M
AnPhA-S116-01,66693,4.2: Balloon Skull Lab,Hw,93.7536,10,10,M
AnPhA-S116-01,66693,4.1 - 4.3: Quiz,Qz,93.7536,10,10,F
AnPhA-S116-01,66693,4.4: Quiz,Qz,93.7536,10,NA,F
AnPhA-S116-01,66693,4.5: Muscle Movements in our Daily Life,Hw,93.7536,20,10,F
AnPhA-S116-01,66693,4.6: Soda and Osteoporosis Research Writing,Hw,93.7536,438,400.38,F
AnPhA-S116-01,66693,Unit 4 Assessment: Test,Qz,93.7536,457,385.01,F
AnPhA-S116-01,66693,5.1: Quiz,Qz,93.7536,5,5,F
