Bb_UserPK,CourseSectionOrigID,TimeSpent
44638,OcnA-S116-01,1382.7001
54346,OcnA-S116-01,1191.3836
57981,OcnA-S116-01,3343.3333
66740,OcnA-S116-01,965.2994
67920,OcnA-S116-01,4094.9995
85355,OcnA-S116-01,594.6165
85644,OcnA-S116-01,1632.4
86349,OcnA-S116-01,1601.1335
86460,OcnA-S116-01,1891.1999
87970,OcnA-S116-01,3123.3502
89114,OcnA-S116-01,1092.3662
89435,OcnA-S116-01,6348.4492
89487,OcnA-S116-01,2151.1498
90562,OcnA-S116-01,1389.3161
91818,OcnA-S116-01,1651.5005
84685,OcnA-T116-01,3073.6162
47979,OcnA-S216-01,1598.6166
84932,OcnA-S216-01,2573.4502
86240,OcnA-S216-01,1800.2174
86340,OcnA-S216-01,111.5834
86527,OcnA-S216-01,2211.5331
87670,OcnA-S216-01,1995.5832
88474,OcnA-S216-01,4112.7673
88504,OcnA-S216-01,68.6333
88849,OcnA-S216-01,4799.483
94319,OcnA-S216-01,1588.55
94590,OcnA-S216-01,1428.0167
94717,OcnA-S216-01,821.9161
94744,OcnA-S216-01,8870.8833
94956,OcnA-S216-01,1242.6
95504,OcnA-S216-01,451.8001
95725,OcnA-S216-01,1886.3334
95738,OcnA-S216-01,163.6832
96121,OcnA-S216-01,1320.5499
96345,OcnA-S216-01,1540.1833
96373,OcnA-S216-01,2449.6827
96374,OcnA-S216-01,2626.9001
96412,OcnA-S216-01,943.0669
96689,OcnA-S216-01,1858.3502
96856,OcnA-S216-01,529.2335
97272,OcnA-S216-01,1638.45
54282,OcnA-S116-02,2025.1672
68476,OcnA-S116-02,969.4666
85410,OcnA-S116-02,6771.9673
85482,OcnA-S116-02,1822.5494
85487,OcnA-S116-02,0.5833
86133,OcnA-S116-02,1581.7665
86689,OcnA-S116-02,2457.1828
87001,OcnA-S116-02,1202.6335
87209,OcnA-S116-02,3755.1506
88168,OcnA-S116-02,2885.7832
88307,OcnA-S116-03,1811.9338
78241,OcnA-S216-02,26.9168
86697,OcnA-S216-02,1133.4667
88864,OcnA-S216-02,2231.3667
94240,OcnA-S216-02,2276.3169
94327,OcnA-S216-02,580.3167
94556,OcnA-S216-02,2287.2334
94577,OcnA-S216-02,1697.5829
94876,OcnA-S216-02,57.6666
95368,OcnA-S216-02,3368.0167
95375,OcnA-S216-02,224.7166
95624,OcnA-S216-02,2111.0837
95868,OcnA-S216-02,1929.4
95921,OcnA-S216-02,960.2998
60186,AnPhA-S116-01,2087.0501
66693,AnPhA-S116-01,2309.0334
66811,AnPhA-S116-01,5298.8507
66862,AnPhA-S116-01,1746.9667
67508,AnPhA-S116-01,2668.183
85970,AnPhA-S116-01,610.8334
86072,AnPhA-S116-01,608.1834
86267,AnPhA-S116-01,406.0001
86277,AnPhA-S116-01,3856.8672
86432,AnPhA-S116-01,3715.9002
86451,AnPhA-S116-01,4176.8337
86476,AnPhA-S116-01,1937.5168
86484,AnPhA-S116-01,1872.0336
86492,AnPhA-S116-01,893.1332
86504,AnPhA-S116-01,1551.3498
86588,AnPhA-S116-01,67.5167
88068,AnPhA-S116-01,535.8334
88099,AnPhA-S116-01,2615.4998
88641,AnPhA-S116-01,1998.4998
54066,OcnA-S116-01,2625.5164
58178,OcnA-S116-01,3502.0004
76891,OcnA-S116-01,2334.5502
86758,OcnA-S116-01,3742.8836
86836,OcnA-S116-01,46.6833
86943,OcnA-S116-01,1377.5666
88440,OcnA-S116-01,2600.1334
88854,OcnA-S116-01,762.5997
90861,OcnA-S116-01,2454.3332
90928,OcnA-S116-01,3900.2504
91635,OcnA-S116-01,3797.3334
79893,OcnA-T116-01,1856.6669
84645,OcnA-T116-01,48.0332
84684,OcnA-T116-01,3095.2494
87955,OcnA-T116-01,2420.5994
88282,OcnA-T116-01,2373.7169
88340,OcnA-T116-01,444.5
88703,OcnA-T116-01,1233.3832
62175,OcnA-S216-01,1403.6834
68022,OcnA-S216-01,39.7504
76443,OcnA-S216-01,100.3334
80822,OcnA-S216-01,4538.4835
86296,OcnA-S216-01,403.8
86455,OcnA-S216-01,2337.4167
87825,OcnA-S216-01,330.7998
90996,OcnA-S216-01,44.7332
94323,OcnA-S216-01,4214.7332
94630,OcnA-S216-01,245.2834
94654,OcnA-S216-01,3140.7669
95091,OcnA-S216-01,3475.8
95533,OcnA-S216-01,1591.2504
95770,OcnA-S216-01,3003.6162
96671,OcnA-S216-01,1734.6833
96756,OcnA-S216-01,3967.3171
97006,OcnA-S216-01,2399.5166
54342,OcnA-S116-02,1581.0831
