opdata_username,opdata_CourseID,Q1MaincellgroupRow1,Q1MaincellgroupRow2,Q1MaincellgroupRow3,Q1MaincellgroupRow4,Q1MaincellgroupRow5,Q1MaincellgroupRow6,Q1MaincellgroupRow7,Q1MaincellgroupRow8,Q1MaincellgroupRow9,Q1MaincellgroupRow10
_80624_1,FrScA-S116-01,4,4,4,1,5,4,1,5,5,5
_80623_1,BioA-S116-01,4,4,3,2,4,4,2,3,4,2
_82588_1,OcnA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_80623_1,AnPhA-S116-01,4,3,3,2,3,3,3,4,2,4
_80624_1,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_80624_1,AnPhA-S116-02,4,2,2,2,4,4,1,4,4,4
_80624_1,AnPhA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_80624_1,BioA-S116-01,5,3,3,1,5,4,1,5,3,4
_80624_1,BioA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_80624_1,PhysA-S116-01,4,4,3,2,4,4,2,4,3,3
_80624_1,PhysA-T116-01,4,4,3,1,5,5,2,4,3,5
_80624_1,OcnA-S116-01,5,4,3,1,5,5,1,5,4,4
_80624_1,OcnA-S116-02,4,4,3,1,4,4,1,4,3,4
_80624_1,OcnA-S116-03,3,2,2,3,4,3,3,4,3,3
_80624_1,OcnA-T116-01,5,4,4,1,5,4,1,5,4,5
_80624_1,OcnA-T116-01,5,4,3,2,4,4,3,5,3,4
_80624_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_80624_1,FrScA-S116-02,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
_80624_1,FrScA-S116-03,4,4,3,2,4,4,3,5,4,5
_80624_1,FrScA-S116-04,4,4,3,2,4,4,2,4,2,4
_80624_1,FrScA-S116-05,4,3,4,2,4,4,2,4,4,5
_80624_1,FrScA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
_53248_1,AnPhA-S116-01,4,3,3,2,4,4,3,4,3,4
_76185_1,PhysA-S116-01,3,3,3,2,3,3,2,3,3,3
_76185_1,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_85791_1,FrScA-S116-01,3,3,3,3,4,3,3,3,2,2
@X@user.pk_string@X@,@X@course.course_id@X@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_87010_1,FrScA-S116-01,5,3,3,1,4,4,3,5,2,3
_87027_1,FrScA-S116-01,5,5,4,2,4,5,2,5,4,5
_85649_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86216_1,BioA-S116-01,5,3,4,2,5,4,3,5,4,5
_68476_1,OcnA-S116-02,4,4,2,4,3,4,2,4,4,4
_68476_1,OcnA-S116-02,4,4,4,2,4,4,2,4,4,4
_87866_1,FrScA-T116-01,5,4,3,1,4,4,3,3,3,5
_64930_1,FrScA-T116-01,4,3,3,2,4,4,3,4,4,4
_86280_1,FrScA-S116-01,4,3,2,2,4,4,2,4,3,4
_85410_1,OcnA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_84632_1,PhysA-T116-01,4,4,4,2,4,NA,NA,NA,NA,NA
_87866_1,FrScA-T116-01,5,3,3,1,4,4,2,5,3,5
_69072_1,FrScA-S116-01,5,3,3,1,4,4,2,4,4,4
_86133_1,OcnA-S116-02,5,3,3,3,5,4,2,5,3,5
_86309_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
_54342_1,OcnA-S116-02,5,3,5,1,5,5,1,5,2,5
_88296_1,PhysA-S116-01,5,4,5,1,5,5,1,5,5,5
_62754_1,PhysA-S116-01,4,3,2,2,3,3,4,3,1,2
_86364_1,FrScA-S116-01,5,4,3,1,5,5,1,5,3,5
_62752_1,PhysA-S116-01,4,3,3,1,3,3,4,4,1,5
_54342_1,OcnA-S116-02,5,4,5,2,5,5,3,4,4,4
_87209_1,OcnA-S116-02,4,3,4,1,5,3,2,5,3,5
_44638_1,OcnA-S116-01,4,4,3,2,4,4,2,5,4,4
_88296_1,PhysA-S116-01,5,3,3,1,5,4,2,5,2,5
_70681_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_66740_1,OcnA-S116-01,5,2,4,1,5,4,1,5,5,5
_77298_1,FrScA-S116-02,4,3,2,1,5,4,3,5,3,5
_54066_1,OcnA-S116-01,4,5,3,1,5,5,1,4,5,4
_86110_1,BioA-S116-01,5,4,4,1,4,5,1,5,4,5
_85355_1,OcnA-S116-01,5,5,3,1,5,5,1,5,5,5
_67920_1,OcnA-S116-01,5,4,4,1,5,4,1,5,4,5
_87693_1,FrScA-T116-01,4,2,3,2,4,2,2,4,2,4
_79859_1,AnPhA-T116-01,3,4,3,2,4,5,3,5,4,4
_72287_1,FrScA-T116-01,3,2,2,3,4,3,4,3,3,3
_87001_1,OcnA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_54346_1,OcnA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_70681_1,BioA-S116-01,3,5,4,2,4,5,3,4,4,2
_87001_1,OcnA-S116-02,4,4,4,2,4,4,1,4,3,3
_85567_1,FrScA-S116-02,4,4,3,2,4,4,3,4,3,3
@X@user.pk_string@X@,@X@course.course_id@X@,5,5,5,1,5,5,2,5,5,5
_86758_1,OcnA-S116-01,5,3,4,2,4,4,2,4,4,4
_88166_1,OcnA-S116-02,4,4,3,2,4,4,2,4,3,4
_62157_1,FrScA-S116-02,5,3,3,1,4,3,2,5,3,5
_62157_1,FrScA-S116-02,4,4,3,2,5,3,2,4,4,4
_76840_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_76840_1,FrScA-S116-01,5,4,4,1,5,5,2,5,4,5
_68598_1,BioA-S116-01,4,3,2,4,4,2,2,4,2,2
_85662_1,FrScA-S116-01,5,4,4,1,4,3,1,5,4,4
_84645_1,OcnA-T116-01,5,5,5,1,5,5,1,5,5,5
_57188_1,AnPhA-S116-02,3,4,3,1,4,4,2,3,3,3
_87504_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_85661_1,FrScA-S116-02,5,3,4,1,5,5,2,5,3,5
_58178_1,OcnA-S116-01,4,4,2,2,4,4,2,4,4,4
