student_id,course_id,total_points_possible,total_points_earned,percentage_earned,subject,semester,section,Gradebook_Item,Grade_Category,final_grade,Points_Possible,Points_Earned,Gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,time_spent,TimeSpent_hours,TimeSpent_std,int,pc,uv,enrollment_status,enrollment_reason,cogproc,male,female,friend,family,social,sad,anger,anx,negemo,posemo,affect,quant,number,interrog,compare,adj,verb,negate,conj,adverb,auxverb,prep,article,ipron,they,shehe,you,we,i,ppron,pronoun,function,Dic,Sixltr,WPS,Tone,Authentic,Clout,Analytic,WC,n
43146,FrScA-S216-02,3280,2220,0.676829268292683,FrScA,S216,02,POINTS EARNED & TOTAL COURSE POINTS,NA,93.4537246,5,NA,M,5,4,4,5,5,5,5,5,4,5,1555.1667,25.919445,-0.18051496412273402,5,4.5,4.333333333333333,Approved/Enrolled,Course Unavailable at Local School,15.069736842105263,0.5121052631578947,0.16657894736842105,0,0.0060526315789473685,6.200526315789474,0.18078947368421053,0.41868421052631577,0.08,1.1363157894736842,3.5555263157894736,4.756052631578948,2.046842105263158,0.9131578947368421,1.2857894736842106,2.421315789473684,5.106842105263158,18.113684210526316,1.2060526315789473,5.565526315789474,6.243421052631579,11.298421052631578,12.301578947368421,7.828947368421052,6.936315789473684,1.0102631578947368,0.5434210526315789,1.7442105263157894,0.06578947368421052,3.646578947368421,7.01,13.988684210526316,55.15447368421053,86.27894736842106,20.89315789473684,17.413947368421052,56.62394736842105,44.13078947368421,49.52078947368421,55.70315789473684,88.3157894736842,38
44638,OcnA-S116-01,3531,2672,0.75672613990371,OcnA,S116,01,ATTEMPTED,NA,81.70184255,10,10,F,4,4,3,4,4,4,4,5,4,4,1382.7001,23.045001666666668,-0.3078031278514906,4.2,3.5,4,Approved/Enrolled,Course Unavailable at Local School,7.1066666666666665,0,0,0,0,6.14,0,0,0,0,19.01,19.01,2.743333333333333,3.473333333333333,0.44333333333333336,4.1466666666666665,5.4799999999999995,11.023333333333333,0,6.66,6.66,9.246666666666666,11.85,2.223333333333333,2.743333333333333,0,0,3.473333333333333,0,7.993333333333333,11.469999999999999,14.206666666666667,44.63,86.31,22.203333333333333,9.833333333333334,96.38,70.25333333333333,53.583333333333336,56.04,34.666666666666664,3
47448,FrScA-S216-01,2870,1897,0.6609756097560976,FrScA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,88.48758465,10,NA,M,5,4,4,5,5,4,4,5,3,5,860.4335,14.340558333333332,-0.6932595379092121,5,4,3.6666666666666665,Approved/Enrolled,Other,15.165853658536586,0.11121951219512195,0.1521951219512195,0.012682926829268294,0.0848780487804878,5.0529268292682925,0.09097560975609756,0.14097560975609758,0.2753658536585366,1.418780487804878,2.90609756097561,4.3307317073170735,3.245365853658537,2.3065853658536586,1.786829268292683,3.9021951219512196,5.614390243902439,16.343658536585366,1.6809756097560975,5.370243902439024,5.824878048780488,10.226341463414634,12.132926829268293,6.76780487804878,5.1451219512195125,0.8434146341463414,0.16951219512195123,1.148780487804878,0.033170731707317075,4.689268292682927,6.882926829268293,12.027560975609756,49.402926829268296,80.72219512195122,20.80780487804878,17.922439024390243,49.41609756097561,41.22365853658537,40.110243902439024,58.9809756097561,69.34146341463415,41
47979,OcnA-S216-01,4562,3090,0.6773345024112232,OcnA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,81.85259631,5,4,M,5,5,3,5,5,5,4,5,5,5,1598.6166,26.643610000000002,-0.14844696959394926,5,3.5,5,Approved/Enrolled,Course Unavailable at Local School,14.508000000000001,0,0,0,0,6.133,0,0.10800000000000001,0.788,1.152,5.591,6.743,3.214,0.257,1.103,2.699,5.213,16.311,1.13,6.203,5.314,8.89,13.626,9.119,4.335,1.863,0,2.049,0.302,3.449,7.662,12.219,53.127,86.497,21.802,18.824,78.369,49.038000000000004,53.088,69.957,61.2,10
48797,PhysA-S116-01,2207,1910,0.8654281830539193,PhysA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,84,438,399,F,4,3,3,4,4,4,4,4,NA,3,1481.8,24.696666666666665,-0.23466291231582515,3.8,3.5,3.5,Approved/Enrolled,Learning Preference of the Student,16.692,0,0.426,0,0,7.534,0.43499999999999994,0.10600000000000001,0.545,1.282,3.794,5.075,2.551,0.213,1.715,3.944,4.618,17.117,0.748,7.244,6.492,9.494,12.818999999999999,9.83,7.841,0.098,0.426,2.623,0.491,3.142,6.779,14.619,57.509,90.487,15.306000000000001,15.66,55.384,42.25,54.085,55.82,47.1,10
51943,FrScA-S216-03,4208,3596,0.8545627376425855,FrScA,S216,03,POINTS EARNED & TOTAL COURSE POINTS,NA,NA,5,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4501,0.057501666666666666,-1.3257521094101665,4.6,4,4,Withdrawn,Learning Preference of the Student,11.985,0.545,0,0.66,0,6.895,0,0,0,0,4.92,4.92,1.085,0,2.4,1.085,3.805,17.905,0.66,6.4350000000000005,5.345,11.355,14.190000000000001,5.664999999999999,4.49,2.52,0,0,0,7.005,9.524999999999999,14.015,55.375,82.98,24.97,16.799999999999997,91.33,34.125,39.96,54.5,84,2
52326,AnPhA-S216-01,4325,2255,0.5213872832369942,AnPhA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,83.5882656,10,NA,M,5,5,3,5,5,5,4,5,5,5,1321.8164,22.030273333333334,-0.3527380565508011,5,3.5,5,Approved/Enrolled,Other,14.928571428571429,0.024285714285714285,0,0.024285714285714285,0.010952380952380953,7.368095238095238,0,0.15047619047619049,0.2119047619047619,0.5619047619047619,5.6866666666666665,6.248571428571428,1.9185714285714286,1.5076190476190476,1.729047619047619,2.241904761904762,4.79,16.340476190476192,0.6838095238095238,7.577619047619048,6.8566666666666665,9.706666666666667,10.728095238095237,7.006666666666667,7.777142857142857,0.42904761904761907,0,3.2738095238095237,0.5366666666666666,5.099523809523809,9.34047619047619,17.116666666666667,55.243809523809524,87.33904761904762,16.255238095238095,13.541428571428572,59.40904761904762,39.876666666666665,55.51761904761905,41.77238095238095,80.52380952380952,21
52446,PhysA-S116-01,2086,1719,0.824065196548418,PhysA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,97.77777778,10,10,F,3,3,3,3,3,4,3,3,3,3,1390.2167,23.170278333333332,-0.30225553654115245,3,3,3.3333333333333335,Approved/Enrolled,Learning Preference of the Student,15.12111111111111,0.39722222222222225,0.30333333333333334,0.043333333333333335,0.05777777777777778,5.693333333333333,0.10333333333333333,0.037222222222222226,0,0.41944444444444445,5.143888888888889,5.683888888888889,2.5949999999999998,1.8305555555555555,2.246111111111111,3.7688888888888887,4.555,17.95888888888889,0.8972222222222223,5.168333333333334,7.25,8.723333333333333,14.60388888888889,7.662222222222222,5.301111111111111,0.08666666666666667,0.6427777777777778,1.8105555555555555,0.23277777777777778,3.8294444444444444,6.601666666666667,11.903888888888888,51.71388888888889,83.29222222222222,20.468888888888888,16.747222222222224,78.74444444444444,35.086666666666666,52.46888888888889,70.39222222222222,59.166666666666664,18
53447,FrScA-S116-01,4655,3149,0.6764769065520945,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,96.11872146,443,425,F,4,3,3,4,4,3,3,4,2,5,1479.4166,24.656943333333334,-0.23642196948649535,4.2,3,2.6666666666666665,Approved/Enrolled,Course Unavailable at Local School,18.228709677419356,0.22,0.11612903225806452,0,0.06193548387096774,4.918064516129032,0.018709677419354837,0.17,0.009354838709677418,1.1087096774193548,6.23258064516129,7.350967741935484,2.3532258064516127,0.9019354838709677,1.2409677419354839,2.7564516129032257,4.166129032258064,17.58741935483871,1.2748387096774194,5.356774193548387,6.321290322580645,11.051935483870968,9.570322580645161,7.609032258064516,8.936774193548388,1.456451612903226,0.2235483870967742,1.3519354838709678,0.13161290322580646,4.493225806451613,7.658709677419355,16.59516129032258,54.00741935483871,86.78258064516129,20.39516129032258,19.774516129032257,67.80677419354839,35.81967741935484,40.98,47.20741935483871,84.38709677419355,31
53475,FrScA-S116-02,1710,1402,0.8198830409356725,FrScA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,NA,5,2.5,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved/Enrolled,Course Unavailable at Local School,15.719189189189189,0.2481081081081081,0.30864864864864866,0,0.14756756756756756,5.651621621621621,0.02702702702702703,0.04405405405405405,0.17972972972972973,0.5172972972972973,8.482432432432432,9,2.1886486486486487,2.865135135135135,1.947027027027027,2.8116216216216214,8.037567567567567,16.514054054054053,1.6308108108108108,6.8,6.371081081081081,9.424864864864865,9.348378378378378,6.534864864864865,4.499189189189189,0.9632432432432433,0.2751351351351351,1.3291891891891892,0.02702702702702703,5.281891891891892,7.875675675675676,12.376486486486487,46.3045945945946,85.2718918918919,20.45189189189189,15.378918918918918,77.46081081081081,50.84081081081081,42.42675675675676,50.84135135135135,49,37
